vin;is_owner;is_promo;region;city;brand;model;year;mileage;count_owners;air_condition;color;price;en_capacity;en_type;en_power;num_cylinders;fuel_waste_mix;body_type;modification;num_doors;gearbox_type;wheel_drive;steering_wheel;link;ad_date;avito_id;model_uid
;True;;Ивановская область;Тейковский р-н;ГАЗ;ГАЗель 33023;2023;470000;2;False;Белый;1000000;2800;Дизель;120;4.0;;Фургон;2.8 D MT (120 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/gavrilov_posad/avtomobili/gaz_gazel_33023_2.8_mt_2013_470000km_3344676268;2023-08-09;3344676268;A0vYbSy
;True;;Ивановская область;Шуя;ВАЗ (LADA);2111;2023;156000;4+;False;Синий;180000;1597;Бензин;89;4.0;7.5;Универсал;1.6 MT (89 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovskaya_oblast_shuya/avtomobili/vaz_lada_2111_1.6_mt_2007_156000km_3259476631;2023-07-23;3259476631;R0VN4SE
;True;;Ивановская область;Иваново;ВАЗ (LADA);2106;2023;118800;1;False;Красный;150000;1293;Бензин;69;4.0;8.4;Седан;1.3 MT (69 л.с.);4;Механика;Задний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2106_1.3_mt_1990_118800km_3126014200;2023-08-10;3126014200;0QAK8cx
;True;;Иваново;Ленинский район;ГАЗ;ГАЗель Next;2023;68000;1;False;Белый;3999999;2980;Газ;120;;;Фургон;3.0 MT (120 л.с.) CNG;2;Механика;Задний;Левый;https://www.avito.ru/ivanovo/avtomobili/gaz_gazel_next_3.0_mt_2021_68000km_2479949360;2023-07-30;2479949360;zN7yyco
;True;;Ивановская область;Иваново;ВАЗ (LADA);2114 Samara;2005;150121;4+;False;Серебряный;135000;1499;Бензин;77;4.0;7.3;Хетчбэк;1.5 MT (77 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2114_samara_1.5_mt_2005_150121km_3043282866;2023-08-13;3043282866;zN8Oxuo
;True;;Ивановская область;Иваново;ВАЗ (LADA);2114 Samara;2023;250000;4+;False;Серый;160000;1499;Бензин;77;4.0;7.3;Хетчбэк;1.5 MT (77 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2114_samara_1.5_mt_2004_250000km_3379678718;2023-08-10;3379678718;zN8Oxuo
;True;;Ивановская область;Иваново;ВАЗ (LADA);Priora;2023;200000;4+;False;Белый;300000;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_priora_1.6_mt_2013_200000km_2846183135;2023-07-28;2846183135;o2drKfx
;True;;Ивановская область;Иваново;ГАЗ;ГАЗель 3302;2023;147000;2;False;Белый;750000;2460;Бензин;124;4.0;;Фургон;2.5 MT (124 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/ivanovo/avtomobili/gaz_gazel_3302_2.5_mt_2008_147000km_2140791402;2023-08-06;2140791402;n4W2VFJ
;True;;Ивановская область;Иваново;УАЗ;Patriot;2023;114500;2;True;Серый;1100000;2693;Бензин;135;4.0;;Внедорожник;2.7 MT (135 л.с.);5;Механика;Полный;Левый;https://www.avito.ru/ivanovo/avtomobili/uaz_patriot_2.7_mt_2016_114500km_3212801216;2023-08-04;3212801216;5ZdnrHx
;True;;Ивановская область;Тейково;ВАЗ (LADA);Vesta;2023;188000;1;False;Белый;735000;1596;Бензин;106;4.0;7.5;Седан;1.6 MT (106 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/teykovo/avtomobili/vaz_lada_vesta_1.6_mt_2018_188000km_3081677112;2023-07-30;3081677112;R4wdjCE
;True;;Ивановская область;Южский р-н;ВАЗ (LADA);2110;2023;175000;2;False;Серебряный;170000;1596;Бензин;81;4.0;7.5;Седан;1.6 MT (81 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/yuzha/avtomobili/vaz_lada_2110_1.6_mt_2006_175000km_3189890972;2023-08-04;3189890972;EdWWPhk
;True;;Ивановская область;Ивановский р-н;ГАЗ;ГАЗель 33023;2023;300000;2;False;Белый;650000;2445;Бензин;140;4.0;;Фургон;2.4 MT (140 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/ivanovo/avtomobili/gaz_gazel_33023_2.4_mt_2007_300000km_2738769298;2023-07-28;2738769298;8RJYacY
