brand;model;car_year;mileage;body_type;price;link
ВАЗ (LADA);2107;2006;150000;Седан;260000.0;https://www.avito.ru/praskoveya/avtomobili/vaz_lada_2107_2006_3220184455
ВАЗ (LADA);Priora;2015;198299;Седан;450000.0;https://www.avito.ru/neftekumsk/avtomobili/vaz_lada_priora_2015_2915412814
ВАЗ (LADA);2115 Samara;2009;419890;Седан;155000.0;https://www.avito.ru/praskoveya/avtomobili/vaz_lada_2115_samara_2009_3194455736
ВАЗ (LADA);Granta;2012;202000;Седан;410000.0;https://www.avito.ru/ipatovo/avtomobili/vaz_lada_granta_2012_2758859265
УАЗ;Patriot;2014;117860;Внедорожник;850000.0;https://www.avito.ru/stavropol/avtomobili/uaz_patriot_2014_2868853693
УАЗ;Patriot;2016;160000;Внедорожник;860000.0;https://www.avito.ru/stavropol/avtomobili/uaz_patriot_2016_3298123435
ВАЗ (LADA);Priora;2010;200000;Седан;240000.0;https://www.avito.ru/novopavlovsk/avtomobili/vaz_lada_priora_2010_2793972088
ВАЗ (LADA);Vesta;2017;110000;Седан;999999.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2017_2865089980
ВАЗ (LADA);Priora;2013;190000;Седан;400000.0;https://www.avito.ru/divnoe/avtomobili/vaz_lada_priora_2013_2233817122
ВАЗ (LADA);2112;2007;195751;Хетчбэк;250000.0;https://www.avito.ru/arzgir/avtomobili/vaz_lada_2112_2007_2063785214
ГАЗ;ГАЗель 3302;2021;29000;Фургон;1960000.0;https://www.avito.ru/essentuki/avtomobili/gaz_gazel_3302_2021_2743700794
ВАЗ (LADA);2115 Samara;2011;193613;Седан;230000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2115_samara_2011_3156208012
ВАЗ (LADA);Granta;2012;180000;Седан;290000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2012_2882733394
ВАЗ (LADA);Vesta;2018;100000;Седан;1030000.0;https://www.avito.ru/nezlobnaya/avtomobili/vaz_lada_vesta_2018_2285017585
ВАЗ (LADA);Granta Cross;2023;20000;Универсал;930000.0;https://www.avito.ru/nezlobnaya/avtomobili/vaz_lada_granta_cross_2023_3023257919
ВАЗ (LADA);2108;1996;275000;Хетчбэк;150000.0;https://www.avito.ru/kazminskoe/avtomobili/vaz_lada_2108_1996_3079037953
ВАЗ (LADA);2107;2002;140000;Седан;65000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_2107_2002_2578474473
ВАЗ (LADA);Vesta;2019;190000;Седан;740000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_vesta_2019_2520574049
ВАЗ (LADA);Granta;2022;22000;Седан;739900.0;https://www.avito.ru/kislovodsk/avtomobili/vaz_lada_granta_2022_3197473088
ВАЗ (LADA);2114 Samara;2009;337000;Хетчбэк;155000.0;https://www.avito.ru/kurskaya/avtomobili/vaz_lada_2114_samara_2009_2644883943
ВАЗ (LADA);Kalina;2014;191500;Хетчбэк;500000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_kalina_2014_3251887352
ВАЗ (LADA);2109;2003;348000;Хетчбэк;259000.0;https://www.avito.ru/karachaevsk/avtomobili/vaz_lada_2109_1.5_mt_2003_348_000_km_3107341672
ВАЗ (LADA);Granta;2023;3000;Седан;870000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_granta_2023_3148783033
ВАЗ (LADA);2112;2004;40000;Хетчбэк;125000.0;https://www.avito.ru/ust-dzheguta/avtomobili/vaz_lada_2112_2004_2280494629
ВАЗ (LADA);2110;2004;245325;Седан;180000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_2110_2004_3118861093
ВАЗ (LADA);Priora;2015;234000;Седан;500000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_priora_2015_2986241545
Москвич;410;1957;100500;Седан;550000.0;https://www.avito.ru/cherkessk/avtomobili/moskvich_410_1957_2446427534
ВАЗ (LADA);2107;1997;138000;Седан;85000.0;https://www.avito.ru/ust-dzheguta/avtomobili/vaz_lada_2107_1997_2859325342
ВАЗ (LADA);Granta;2019;70744;Лифтбек;545000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_granta_2019_2591919762
ВАЗ (LADA);2110;2006;231465;Седан;150000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_2110_2006_2635611458
ВАЗ (LADA);4x4 (Нива);2019;23100;Внедорожник;785000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_4x4_niva_2019_2758251322
ВАЗ (LADA);Priora;2014;234000;Седан;550000.0;https://www.avito.ru/ust-dzheguta/avtomobili/vaz_lada_priora_2014_2145352625
УАЗ;Hunter;2012;83000;Внедорожник;500000.0;https://www.avito.ru/cherkessk/avtomobili/uaz_hunter_2012_2300546183
ВАЗ (LADA);Priora;2018;157000;Седан;670000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_priora_2018_2685717730
ВАЗ (LADA);Granta;2018;157000;Седан;620000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_granta_2018_3298674827
ВАЗ (LADA);2110;2004;250000;Седан;106000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_2110_2004_3105094867
УАЗ;31519;2005;210000;Внедорожник;300000.0;https://www.avito.ru/zelenchukskaya/avtomobili/uaz_31519_2005_3017463310
ВАЗ (LADA);Granta;2020;27000;Седан;990000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_granta_1.6_mt_2020_27_000_km_2153507289
УАЗ;Hunter;2016;2119;Внедорожник;1350000.0;https://www.avito.ru/arkhyz/avtomobili/uaz_hunter_2016_2647157262
ВАЗ (LADA);Priora;2012;213000;Хетчбэк;420000.0;https://www.avito.ru/ikon-halk/avtomobili/vaz_lada_priora_2012_3183794292
ВАЗ (LADA);Vesta Cross;2021;40793;Универсал;1510000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_vesta_cross_2021_3068606947
ВАЗ (LADA);Priora;2014;105000;Универсал;675000.0;https://www.avito.ru/zelenchukskaya/avtomobili/vaz_lada_priora_2014_2929616945
ВАЗ (LADA);Priora;2009;295826;Хетчбэк;319000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_priora_2009_2979515565
ВАЗ (LADA);Priora;2011;148000;Седан;345000.0;https://www.avito.ru/cherkessk/avtomobili/vaz_lada_priora_2011_2969419002
ВАЗ (LADA);Vesta;2019;175000;Седан;900000.0;https://www.avito.ru/sary-tyuz/avtomobili/vaz_lada_vesta_2019_2827778258
ВАЗ (LADA);2114 Samara;2006;197605;Хетчбэк;130000.0;https://www.avito.ru/armavir/avtomobili/vaz_lada_2114_samara_2006_3139861028
ВАЗ (LADA);21099;2003;248000;Седан;78000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_21099_2003_3083041851
ВАЗ (LADA);Priora;2015;160000;Седан;580000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_priora_1.6_mt_2015_160_000_km_3274700263
ВАЗ (LADA);2115 Samara;2001;363000;Седан;75000.0;https://www.avito.ru/ust-labinsk/avtomobili/vaz_lada_2115_samara_2001_3079234887
ВАЗ (LADA);2115 Samara;2005;140000;Седан;120000.0;https://www.avito.ru/holmskaya/avtomobili/vaz_lada_2115_samara_2005_3206636891
ВАЗ (LADA);2112;2005;100000;Хетчбэк;120000.0;https://www.avito.ru/baksan/avtomobili/vaz_lada_2112_2005_2661476237
ВАЗ (LADA);Priora;2015;131000;Седан;670000.0;https://www.avito.ru/nartkala/avtomobili/vaz_lada_priora_2015_3060897259
ВАЗ (LADA);21099;1998;1000;Седан;420000.0;https://www.avito.ru/vladikavkaz/avtomobili/vaz_lada_21099_1998_2704968170
ВАЗ (LADA);2108;1990;41000;Хетчбэк;165000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_2108_1990_2185921258
ВАЗ (LADA);2107;2010;80000;Седан;118000.0;https://www.avito.ru/psebay/avtomobili/vaz_lada_2107_2010_3079641101
ВАЗ (LADA);Priora;2012;180000;Седан;260000.0;https://www.avito.ru/shali/avtomobili/vaz_lada_priora_2012_3004125650
ВАЗ (LADA);4x4 (Нива);2016;45000;Внедорожник;670000.0;https://www.avito.ru/chegem/avtomobili/vaz_lada_4x4_niva_2016_2769273373
ВАЗ (LADA);4x4 (Нива);2006;280000;Внедорожник;255000.0;https://www.avito.ru/sochi/avtomobili/vaz_lada_4x4_niva_2006_2496601921
ВАЗ (LADA);Priora;2016;168894;Седан;620000.0;https://www.avito.ru/armavir/avtomobili/vaz_lada_priora_2016_3108978781
ВАЗ (LADA);Priora;2012;185000;Седан;280000.0;https://www.avito.ru/armavir/avtomobili/vaz_lada_priora_2012_2977619468
ГАЗ;24 Волга;1991;300000;Седан;330000.0;https://www.avito.ru/groznyy/avtomobili/gaz_24_volga_1991_2574619754
ВАЗ (LADA);2110;2003;233789;Седан;120000.0;https://www.avito.ru/pshehskaya/avtomobili/vaz_lada_2110_1.5_mt_2003_233_789_km_2278848965
ВАЗ (LADA);Granta;2017;123000;Седан;465000.0;https://www.avito.ru/armavir/avtomobili/vaz_lada_granta_2017_3186398068
ВАЗ (LADA);2115 Samara;2005;158000;Седан;145000.0;https://www.avito.ru/kovalevskoe/avtomobili/vaz_lada_2115_samara_2005_3122007431
ВАЗ (LADA);Priora;2010;235000;Хетчбэк;235000.0;https://www.avito.ru/budennovsk/avtomobili/vaz_lada_priora_2010_3107811805
ВАЗ (LADA);2109;1994;300000;Хетчбэк;30000.0;https://www.avito.ru/yablonovskiy/avtomobili/vaz_lada_2109_1994_3121416272
ВАЗ (LADA);2114 Samara;2011;110000;Хетчбэк;305000.0;https://www.avito.ru/krasnodar/avtomobili/vaz_lada_2114_samara_2011_3070076293
ВАЗ (LADA);2114 Samara;2007;242000;Хетчбэк;170000.0;https://www.avito.ru/sochi/avtomobili/vaz_lada_2114_samara_2007_3066585056
ИЖ;2126;2003;35000;Хетчбэк;105000.0;https://www.avito.ru/armavir/avtomobili/izh_2126_2003_1955883112
ВАЗ (LADA);21099;2001;253561;Седан;150000.0;https://www.avito.ru/kizilyurt/avtomobili/vaz_lada_21099_2001_3077558860
ВАЗ (LADA);2107;2012;49000;Седан;196000.0;https://www.avito.ru/volgograd/avtomobili/vaz_lada_2107_2012_2818512357
ВАЗ (LADA);Priora;2011;338933;Седан;299000.0;https://www.avito.ru/shali/avtomobili/vaz_lada_priora_2011_2661070972
ВАЗ (LADA);2114 Samara;2009;279000;Хетчбэк;255555.0;https://www.avito.ru/nalchik/avtomobili/vaz_lada_2114_samara_2009_3149731077
ВАЗ (LADA);Granta;2020;56000;Седан;760000.0;https://www.avito.ru/novokubansk/avtomobili/vaz_lada_granta_2020_2770871619
ВАЗ (LADA);Priora;2011;200000;Седан;300000.0;https://www.avito.ru/plastunovskaya/avtomobili/vaz_lada_priora_2011_2961267512
ВАЗ (LADA);Priora;2011;137000;Хетчбэк;251000.0;https://www.avito.ru/maykop/avtomobili/vaz_lada_priora_2011_3086889450
ВАЗ (LADA);Granta;2012;200000;Седан;445000.0;https://www.avito.ru/armavir/avtomobili/vaz_lada_granta_2012_2954950993
ВАЗ (LADA);Kalina;2011;167000;Универсал;285000.0;https://www.avito.ru/dagestan_dubki/avtomobili/vaz_lada_kalina_2011_3101922691
